x,y
0.000000000000000000e+00,3.301335372681509117e+00
1.250000000000000000e+00,3.279681149019403996e+00
2.500000000000000000e+00,3.227030697759695865e+00
3.750000000000000000e+00,3.141920539374537746e+00
5.000000000000000000e+00,3.067459502058790477e+00
6.250000000000000000e+00,3.407054532347025155e+00
7.500000000000000000e+00,6.134303075229991187e+00
8.750000000000000000e+00,8.907881275752480121e+00
1.000000000000000000e+01,9.376061013530602395e+00
1.125000000000000000e+01,9.484471651831077210e+00
1.250000000000000000e+01,9.599394695083967477e+00
1.375000000000000000e+01,9.726119479822870062e+00
1.500000000000000000e+01,9.804978641519259241e+00
1.625000000000000000e+01,9.432371016320765023e+00
1.750000000000000000e+01,6.653311976691313134e+00
1.875000000000000000e+01,3.839054532347025095e+00
2.000000000000000000e+01,3.370163430676481831e+00
2.125000000000000000e+01,3.316421481946207006e+00
2.250000000000000000e+01,3.305959527751736182e+00
2.375000000000000000e+01,3.305024004167566254e+00
2.500000000000000000e+01,3.301335372681509117e+00
